iter	Passed	Remaining
0	125	125780
1	127	63809
2	130	43474
3	133	33300
4	137	27426
5	140	23335
6	143	20352
7	146	18184
8	150	16537
9	153	15179
10	156	14063
11	159	13150
12	165	12577
13	168	11845
14	170	11202
15	172	10635
16	176	10227
17	180	9823
18	182	9434
19	185	9082
20	188	8772
21	192	8546
22	195	8312
23	198	8055
24	200	7813
25	203	7611
26	206	7445
27	209	7271
28	211	7086
29	213	6911
30	215	6733
31	218	6624
32	221	6502
33	224	6367
34	226	6253
35	228	6121
36	230	6007
37	233	5913
38	235	5810
39	238	5714
40	240	5615
41	241	5516
42	243	5425
43	245	5342
44	247	5261
45	249	5184
46	251	5106
47	253	5031
48	256	4969
49	257	4899
50	260	4839
51	261	4775
52	264	4719
53	265	4659
54	267	4599
55	269	4540
56	271	4488
57	272	4432
58	274	4384
59	276	4335
60	278	4287
61	280	4237
62	281	4189
63	283	4143
64	284	4098
65	286	4057
66	288	4017
67	290	3985
68	292	3947
69	294	3907
70	295	3870
71	297	3835
72	299	3799
73	300	3765
74	303	3737
75	305	3713
76	307	3681
77	308	3647
78	310	3618
79	312	3588
80	313	3560
81	315	3532
82	316	3497
83	318	3471
84	320	3446
85	322	3427
86	324	3403
87	325	3376
88	327	3355
89	329	3330
90	331	3310
91	333	3287
92	334	3266
93	336	3244
94	338	3222
95	339	3201
96	341	3176
97	342	3154
98	344	3132
99	345	3111
100	347	3093
101	349	3077
102	351	3059
103	352	3040
104	354	3022
105	356	3003
106	357	2987
107	359	2970
108	361	2952
109	363	2937
110	365	2923
111	367	2909
112	368	2894
113	370	2878
114	372	2862
115	373	2847
116	375	2831
117	377	2820
118	379	2808
119	381	2797
120	383	2784
121	384	2770
122	386	2758
123	389	2748
124	391	2738
125	393	2727
126	395	2715
127	396	2701
128	398	2690
129	399	2676
130	402	2669
131	404	2659
132	405	2646
133	408	2636
134	410	2627
135	412	2620
136	414	2609
137	415	2598
138	417	2586
139	419	2575
140	421	2568
141	423	2560
142	426	2554
143	428	2545
144	430	2536
145	432	2527
146	433	2517
147	435	2507
148	438	2506
149	440	2497
150	442	2489
151	444	2480
152	446	2471
153	448	2463
154	450	2454
155	452	2445
156	454	2438
157	456	2430
158	458	2423
159	459	2413
160	460	2402
161	462	2393
162	464	2387
163	466	2380
164	469	2375
165	471	2368
166	473	2363
167	475	2356
168	477	2349
169	480	2344
170	482	2338
171	484	2331
172	486	2324
173	488	2317
174	489	2309
175	492	2303
176	493	2296
177	495	2288
178	497	2282
179	499	2274
180	501	2268
181	503	2261
182	504	2253
183	506	2247
184	508	2240
185	510	2234
186	512	2227
187	514	2222
188	516	2216
189	518	2210
190	520	2203
191	521	2195
192	523	2188
193	525	2181
194	527	2176
195	529	2171
196	531	2165
197	533	2160
198	534	2152
199	536	2147
200	538	2140
201	540	2133
202	541	2126
203	543	2118
204	545	2113
205	546	2106
206	548	2100
207	549	2093
208	551	2088
209	553	2082
210	556	2081
211	558	2075
212	560	2070
213	562	2064
214	563	2058
215	565	2053
216	567	2046
217	568	2040
218	570	2034
219	572	2028
220	573	2023
221	575	2017
222	577	2011
223	579	2006
224	581	2001
225	582	1996
226	584	1990
227	586	1984
228	587	1979
229	589	1974
230	591	1968
231	593	1964
232	594	1958
233	596	1953
234	599	1950
235	601	1946
236	602	1941
237	604	1936
238	606	1930
239	608	1925
240	609	1919
241	611	1914
242	612	1909
243	614	1903
244	616	1898
245	618	1895
246	620	1891
247	622	1886
248	623	1881
249	625	1876
250	627	1871
251	629	1867
252	630	1862
253	632	1857
254	634	1853
255	635	1847
256	637	1842
257	639	1837
258	640	1833
259	642	1829
260	644	1825
261	647	1824
262	649	1821
263	651	1817
264	653	1812
265	655	1807
266	656	1802
267	658	1797
268	660	1794
269	662	1790
270	664	1786
271	666	1782
272	667	1778
273	669	1775
274	671	1770
275	673	1766
276	674	1761
277	676	1757
278	678	1753
279	680	1750
280	682	1746
281	684	1742
282	685	1737
283	687	1733
284	689	1729
285	691	1726
286	693	1722
287	695	1719
288	697	1716
289	699	1713
290	702	1710
291	704	1707
292	706	1705
293	709	1702
294	710	1698
295	713	1696
296	714	1692
297	716	1688
298	718	1684
299	721	1684
300	723	1680
301	725	1677
302	727	1673
303	729	1669
304	731	1665
305	734	1664
306	735	1661
307	737	1657
308	740	1655
309	741	1651
310	744	1648
311	745	1644
312	747	1640
313	749	1637
314	751	1634
315	753	1631
316	755	1628
317	757	1624
318	759	1620
319	761	1617
320	762	1613
321	764	1609
322	766	1606
323	768	1602
324	770	1599
325	771	1595
326	773	1591
327	775	1589
328	777	1586
329	779	1581
330	780	1578
331	782	1574
332	784	1570
333	786	1567
334	787	1563
335	789	1559
336	790	1556
337	792	1552
338	794	1548
339	795	1545
340	797	1541
341	799	1537
342	800	1533
343	802	1529
344	804	1526
345	805	1522
346	807	1518
347	808	1515
348	810	1511
349	812	1508
350	813	1505
351	816	1503
352	818	1499
353	819	1495
354	821	1492
355	823	1488
356	825	1486
357	827	1483
358	829	1481
359	831	1478
360	833	1474
361	834	1471
362	836	1468
363	838	1465
364	840	1461
365	842	1458
366	843	1455
367	845	1452
368	847	1449
369	849	1447
370	851	1444
371	853	1441
372	855	1438
373	857	1435
374	859	1431
375	860	1428
376	862	1426
377	864	1422
378	866	1419
379	868	1416
380	870	1413
381	872	1411
382	874	1408
383	876	1405
384	877	1402
385	879	1399
386	881	1395
387	882	1392
388	884	1388
389	885	1385
390	887	1382
391	889	1379
392	891	1376
393	892	1373
394	894	1370
395	896	1367
396	898	1364
397	900	1361
398	902	1359
399	904	1356
400	906	1354
401	908	1351
402	910	1348
403	911	1345
404	913	1342
405	915	1339
406	916	1335
407	918	1333
408	920	1329
409	922	1326
410	923	1324
411	925	1321
412	927	1318
413	929	1315
414	930	1312
415	932	1308
416	934	1306
417	936	1303
418	938	1301
419	939	1297
420	941	1295
421	943	1292
422	946	1290
423	948	1288
424	950	1285
425	952	1283
426	954	1280
427	956	1278
428	958	1275
429	960	1273
430	962	1271
431	965	1269
432	967	1266
433	969	1263
434	971	1261
435	973	1258
436	974	1256
437	976	1253
438	979	1251
439	981	1248
440	983	1246
441	984	1243
442	986	1240
443	988	1238
444	991	1237
445	993	1234
446	995	1231
447	997	1229
448	999	1226
449	1001	1224
450	1003	1221
451	1005	1218
452	1006	1215
453	1008	1213
454	1010	1210
455	1012	1207
456	1013	1204
457	1015	1201
458	1017	1198
459	1019	1196
460	1020	1193
461	1022	1190
462	1023	1187
463	1025	1185
464	1027	1182
465	1030	1180
466	1032	1178
467	1034	1175
468	1036	1173
469	1038	1171
470	1042	1171
471	1044	1168
472	1046	1166
473	1048	1163
474	1050	1160
475	1051	1157
476	1054	1156
477	1057	1154
478	1058	1151
479	1060	1149
480	1062	1146
481	1064	1143
482	1066	1141
483	1068	1138
484	1069	1136
485	1071	1133
486	1073	1131
487	1075	1128
488	1077	1125
489	1079	1123
490	1081	1120
491	1083	1118
492	1085	1116
493	1087	1113
494	1089	1111
495	1091	1109
496	1093	1107
497	1095	1104
498	1097	1102
499	1099	1099
500	1101	1096
501	1103	1094
502	1105	1092
503	1107	1089
504	1108	1087
505	1110	1084
506	1112	1081
507	1114	1079
508	1116	1076
509	1117	1074
510	1119	1071
511	1121	1069
512	1123	1066
513	1125	1064
514	1127	1061
515	1129	1059
516	1130	1056
517	1132	1054
518	1134	1051
519	1136	1048
520	1138	1046
521	1140	1044
522	1142	1041
523	1143	1038
524	1145	1036
525	1147	1033
526	1149	1031
527	1151	1029
528	1153	1027
529	1155	1024
530	1156	1021
531	1158	1019
532	1161	1017
533	1162	1014
534	1164	1012
535	1166	1009
536	1167	1006
537	1169	1004
538	1171	1001
539	1174	1000
540	1175	997
541	1177	995
542	1179	992
543	1181	990
544	1183	987
545	1184	985
546	1186	982
547	1188	979
548	1189	977
549	1191	974
550	1193	972
551	1194	969
552	1196	967
553	1198	964
554	1200	962
555	1201	959
556	1203	957
557	1206	955
558	1208	953
559	1210	950
560	1211	948
561	1213	945
562	1215	943
563	1217	941
564	1219	939
565	1221	936
566	1223	934
567	1225	932
568	1227	929
569	1229	927
570	1231	925
571	1233	922
572	1235	920
573	1237	918
574	1239	915
575	1240	913
576	1242	911
577	1244	908
578	1246	906
579	1248	904
580	1250	901
581	1251	899
582	1253	896
583	1255	894
584	1257	891
585	1259	889
586	1260	887
587	1262	884
588	1264	882
589	1266	879
590	1268	877
591	1269	875
592	1271	872
593	1273	870
594	1275	867
595	1276	865
596	1278	863
597	1280	860
598	1281	858
599	1283	855
600	1284	853
601	1286	850
602	1287	847
603	1289	845
604	1291	842
605	1292	840
606	1294	838
607	1296	836
608	1298	833
609	1300	831
610	1302	829
611	1304	826
612	1305	824
613	1307	822
614	1309	820
615	1312	817
616	1313	815
617	1315	813
618	1317	810
619	1318	808
620	1323	807
621	1325	805
622	1327	803
623	1329	801
624	1331	798
625	1333	796
626	1335	794
627	1337	792
628	1338	789
629	1340	787
630	1341	784
631	1342	781
632	1344	779
633	1346	777
634	1347	774
635	1349	772
636	1351	770
637	1353	767
638	1354	765
639	1356	763
640	1358	760
641	1360	758
642	1361	756
643	1363	753
644	1365	751
645	1367	749
646	1369	746
647	1371	744
648	1372	742
649	1374	740
650	1375	737
651	1377	735
652	1379	733
653	1381	730
654	1382	728
655	1384	726
656	1387	724
657	1389	722
658	1391	719
659	1393	717
660	1395	715
661	1396	713
662	1399	711
663	1401	709
664	1403	706
665	1405	704
666	1407	702
667	1408	700
668	1410	697
669	1412	695
670	1414	693
671	1416	691
672	1418	689
673	1420	687
674	1422	684
675	1424	682
676	1426	680
677	1430	679
678	1432	677
679	1435	675
680	1437	673
681	1439	671
682	1442	669
683	1445	667
684	1447	665
685	1449	663
686	1451	661
687	1453	659
688	1455	657
689	1458	655
690	1461	653
691	1463	651
692	1465	649
693	1468	647
694	1470	645
695	1473	643
696	1475	641
697	1477	639
698	1479	637
699	1481	635
700	1484	633
701	1486	630
702	1489	629
703	1491	626
704	1493	625
705	1495	622
706	1497	620
707	1499	618
708	1503	616
709	1505	614
710	1507	612
711	1508	610
712	1510	608
713	1512	605
714	1514	603
715	1516	601
716	1518	599
717	1520	597
718	1521	594
719	1523	592
720	1525	590
721	1527	588
722	1529	585
723	1531	583
724	1532	581
725	1534	579
726	1536	576
727	1537	574
728	1539	572
729	1540	569
730	1542	567
731	1544	565
732	1546	563
733	1548	561
734	1551	559
735	1552	557
736	1554	554
737	1556	552
738	1558	550
739	1559	547
740	1561	545
741	1563	543
742	1564	541
743	1566	539
744	1568	536
745	1570	534
746	1572	532
747	1573	530
748	1575	528
749	1577	525
750	1579	523
751	1581	521
752	1583	519
753	1585	517
754	1586	514
755	1588	512
756	1589	510
757	1591	508
758	1593	506
759	1595	503
760	1597	501
761	1599	499
762	1601	497
763	1602	495
764	1604	492
765	1606	490
766	1607	488
767	1610	486
